country,date,confirmed,deaths,recovered,daily_new_cases,daily_new_deaths,daily_new_recovered,cases_7day_avg,deaths_7day_avg,active_cases,case_fatality_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations_smoothed,total_tests,new_tests,new_tests_smoothed,total_tests_per_thousand,new_tests_per_thousand,positive_rate,tests_per_case,stringency_index,population_density,median_age,aged_65_older,gdp_per_capita,hospital_beds_per_thousand,life_expectancy,human_development_index,population,icu_patients,hosp_patients,reproduction_rate,mobility_retail,mobility_grocery,mobility_parks,mobility_transit,mobility_workplaces,mobility_residential,zscore_daily_new_cases,anomaly_daily_new_cases,zscore_daily_new_deaths,anomaly_daily_new_deaths,zscore_cases_7day_avg,anomaly_cases_7day_avg,is_anomaly,daily_new_cases_smoothed,daily_new_deaths_smoothed,cases_7day_avg_smoothed,day_of_week_sin,day_of_week_cos,month_sin,month_cos,day_of_year_sin,day_of_year_cos,days_since_outbreak,is_weekend,lag_1,lag_3,lag_7,lag_14,lag_1_deaths,lag_7_deaths,rolling_mean_7,rolling_std_7,rolling_max_7,rolling_mean_14,rolling_std_14,rolling_mean_21,rolling_change_7,ewm_mean_7,growth_rate,growth_rate_7d,doubling_time,cfr,recovery_rate,rt_estimate,active_ratio,cases_per_million,mobility_retail_lag7,mobility_grocery_lag7,mobility_parks_lag7,mobility_transit_lag7,mobility_workplaces_lag7,mobility_residential_lag7,mobility_composite_lag7
Brazil,2020-02-01,33348,438,28866,982.0,13.0,850.0,899.8571,11.857142,4044,0.013134221,263.0,157.0,23197.0,761584.0,263.0,55163,5014,5014,16.72,0.0152,0.026,19.9,47.8,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.08,-30.0,-26.0,-25.0,-40.0,-31.0,15.0,-0.09553703,False,-0.060214747,False,-0.19647501,False,False,982.0,13.0,899.8571,-0.974928,-0.22252055,0.86602545,0.49999997,0.5230943,0.85227484,10,1,873.5714,823.0,774.3333,0.0,13.0,11.0,834.08844,41.58552,899.8571,807.04114,49.831673,807.04114,0.09790611,846.5518,0.030089933,0.021720316,32.25776,0.013134221,0.86559916,2.0491216,0.12126664,4.233438,-27.0,-21.0,-22.0,-26.0,-32.0,11.0,-28.333334
Brazil,2020-02-02,34360,451,29742,1012.0,13.0,876.0,927.1429,12.142858,4167,0.013125728,263.0,157.0,23197.0,761584.0,263.0,60099,4936,4936,18.21,0.015,0.1378,7.7,40.3,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.07,-30.0,-27.0,-31.0,-27.0,-28.0,14.0,-0.08744682,False,-0.21101625,False,-0.16257623,False,False,1012.0,13.0,927.1429,-0.7818316,0.6234896,0.86602545,0.49999997,0.5376774,0.8431507,11,1,899.8571,847.8571,786.0,0.0,13.0,11.0,854.2517,48.091698,927.1429,817.0496,58.8174,817.0496,0.11671758,867.3587,0.030322332,0.023899686,29.347582,0.013125728,0.8655995,1.6662388,0.12127474,4.361806,-31.0,-24.0,-27.0,-26.0,-25.0,14.0,-27.333334
Brazil,2020-02-03,35403,465,30645,1043.0,14.0,903.0,955.2857,12.571428,4293,0.01313448,263.0,157.0,23197.0,761584.0,263.0,65082,4983,4983,19.72,0.0151,0.069,7.9,36.6,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.18,-36.0,-21.0,-20.0,-35.0,-38.0,17.0,-0.08539586,False,0.037674204,False,-0.13861689,False,False,1043.0,14.0,955.2857,0.0,1.0,0.86602545,0.49999997,0.5521014,0.833777,12,0,927.1429,873.5714,798.0,0.0,13.0,11.0,876.72107,53.83056,955.2857,827.68317,68.125885,827.68317,0.13790095,889.87537,0.030354353,0.026054997,26.948341,0.01313448,0.86560464,1.4104619,0.12126091,4.4942055,-28.0,-22.0,-22.0,-32.0,-23.0,9.0,-27.666666
Brazil,2020-02-04,36477,479,31574,1074.0,14.0,929.0,984.1429,13.0,4424,0.013131563,263.0,157.0,23197.0,761584.0,263.0,70077,4995,4995,21.24,0.0151,0.1199,10.4,40.5,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.05,-27.0,-25.0,-31.0,-35.0,-35.0,14.0,-0.087896764,False,-0.12845875,False,-0.120389625,False,False,1074.0,14.0,984.1429,0.7818315,0.6234898,0.86602545,0.49999997,0.56636196,0.8241566,13,0,955.2857,899.8571,810.3333,0.0,14.0,11.0,901.551,58.027008,984.1429,838.8588,77.67028,838.8588,0.16154301,913.86975,0.030207902,0.028162515,24.957401,0.013131563,0.8655865,1.2273294,0.12128191,4.6299663,-31.0,-27.0,-17.0,-33.0,-28.0,14.0,-30.666666
Brazil,2020-02-05,37584,493,32533,1107.0,14.0,959.0,1013.8571,13.285714,4558,0.013117284,263.0,157.0,23197.0,761584.0,263.0,75049,4972,4972,22.74,0.0151,0.2269,22.2,54.7,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.36,-29.0,-23.0,-17.0,-32.0,-27.0,15.0,-0.08508575,False,-0.27654523,False,-0.10656738,False,False,1107.0,14.0,1013.8571,0.9749279,-0.22252095,0.86602545,0.49999997,0.58045495,0.8142924,14,0,984.1429,927.1429,823.0,751.0,14.0,12.0,928.81635,59.779346,1013.8571,857.63434,86.11025,850.5254,0.18102038,939.2052,0.030193007,0.030242736,23.264355,0.013117284,0.8656077,1.2319041,0.12127501,4.7697587,-28.0,-26.0,-24.0,-33.0,-31.0,14.0,-30.666666
Brazil,2020-02-06,38724,508,33519,1140.0,15.0,986.0,1044.5714,13.714286,4697,0.013118479,263.0,157.0,23197.0,761584.0,263.0,79947,4898,4898,24.23,0.0148,0.0829,11.0,49.4,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.13,-28.0,-18.0,-18.0,-35.0,-31.0,13.0,-0.08730927,False,-0.06708445,False,-0.0962085,False,False,1140.0,15.0,1044.5714,0.43388382,-0.90096885,0.86602545,0.49999997,0.59437615,0.8041872,15,0,1013.8571,955.2857,847.8571,751.0,14.0,12.0,956.91833,61.587605,1044.5714,878.60376,93.56744,862.65326,0.19571579,965.8134,0.0302945,0.0302558,23.254421,0.013118479,0.86558723,1.2320135,0.12129429,4.914256,-27.0,-21.0,-18.0,-25.0,-31.0,11.0,-27.666666
Brazil,2020-02-07,39899,523,34537,1175.0,15.0,1018.0,1076.1428,14.0,4839,0.013108098,263.0,157.0,23197.0,761584.0,263.0,84854,4907,4907,25.71,0.0149,0.0426,7.5,40.0,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.0,-34.0,-22.0,-30.0,-35.0,-32.0,15.0,-0.08478568,False,-0.22689216,False,-0.08977302,False,False,1175.0,15.0,1076.1428,-0.43388376,-0.90096885,0.86602545,0.49999997,0.6081215,0.7938439,16,0,1044.5714,984.1429,873.5714,762.5,15.0,13.0,985.8571,63.460995,1076.1428,901.0068,100.89153,875.2115,0.20792663,993.6047,0.030224273,0.0302409,23.26571,0.013108098,0.86561066,1.2318888,0.12128124,5.062786,-31.0,-23.0,-12.0,-33.0,-29.0,13.0,-31.0
Brazil,2020-02-08,41109,539,35584,1210.0,16.0,1047.0,1108.7142,14.428572,4986,0.013111484,263.0,157.0,23197.0,761584.0,263.0,89903,5049,5049,27.24,0.0153,0.176,13.2,43.5,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.05,-32.0,-27.0,-11.0,-35.0,-36.0,17.0,-0.08694388,False,-0.048353773,False,-0.08639591,False,False,1210.0,16.0,1108.7142,-0.974928,-0.22252055,0.86602545,0.49999997,0.62168694,0.7832658,17,1,1076.1428,1013.8571,899.8571,774.3333,15.0,13.0,1015.69385,65.35804,1108.7142,924.8911,107.93091,888.18384,0.21772921,1022.5452,0.03026681,0.030266168,23.246569,0.013111484,0.8656012,1.2321004,0.12128731,5.21602,-30.0,-26.0,-25.0,-40.0,-31.0,15.0,-33.666668
Brazil,2020-02-09,42355,556,36662,1246.0,17.0,1078.0,1142.1428,15.0,5137,0.01312714,263.0,157.0,23197.0,761584.0,263.0,94965,5062,5062,28.78,0.0153,0.1094,24.5,41.6,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.05,-36.0,-25.0,-27.0,-39.0,-36.0,15.0,-0.08909418,False,0.12460062,False,-0.08668314,False,False,1246.0,17.0,1142.1428,-0.7818316,0.6234896,0.86602545,0.49999997,0.63506836,0.77245593,18,1,1108.7142,1044.5714,927.1429,786.0,16.0,13.0,1046.4082,67.29851,1142.1428,950.3299,114.45045,901.5501,0.22494125,1052.5715,0.030150771,0.030241659,23.26517,0.01312714,0.8655885,1.2318952,0.12128438,5.373287,-30.0,-27.0,-31.0,-27.0,-28.0,14.0,-28.333334
Brazil,2020-02-10,43640,573,37775,1285.0,17.0,1113.0,1176.7142,15.428572,5292,0.013130155,263.0,157.0,23197.0,761584.0,263.0,99982,5017,5017,30.3,0.0152,0.0551,27.0,54.6,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.07,-30.0,-28.0,-12.0,-36.0,-37.0,17.0,-0.083525546,False,-0.045110997,False,-0.08635426,False,False,1285.0,17.0,1176.7142,0.0,1.0,0.86602545,0.49999997,0.6482618,0.7614175,19,0,1142.1428,1076.1428,955.2857,798.0,17.0,14.0,1078.0408,69.33799,1176.7142,977.3809,120.28384,915.30835,0.22962797,1083.7059,0.030268904,0.030229453,23.274385,0.013130155,0.86560494,1.231793,0.1212649,5.5359306,-36.0,-21.0,-20.0,-35.0,-38.0,17.0,-36.333332
Brazil,2020-02-11,44963,590,38920,1323.0,17.0,1145.0,1212.2858,15.857142,5453,0.0131219,263.0,157.0,23197.0,761584.0,263.0,104983,5001,5001,31.81,0.0152,0.1105,3.5,45.2,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.27,-32.0,-27.0,-19.0,-37.0,-37.0,12.0,-0.08649712,False,-0.18971331,False,-0.086180605,False,False,1323.0,17.0,1212.2858,0.7818315,0.6234898,0.86602545,0.49999997,0.6612635,0.75015366,20,0,1176.7142,1108.7142,984.1429,810.3333,17.0,14.0,1110.6326,71.43277,1212.2858,1006.0918,125.21414,929.4501,0.23191321,1115.9276,0.030229542,0.030232543,23.272036,0.0131219,0.8656006,1.2318188,0.121277496,5.7032795,-27.0,-25.0,-31.0,-35.0,-35.0,14.0,-32.333332
Brazil,2020-02-12,46326,608,40100,1363.0,18.0,1180.0,1248.8572,16.428572,5618,0.013124379,263.0,157.0,23197.0,761584.0,263.0,110329,5346,5346,33.43,0.0162,0.1084,13.3,43.6,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.22,-36.0,-23.0,-18.0,-36.0,-37.0,18.0,-0.08624152,False,-0.042443812,False,-0.08632894,False,False,1363.0,18.0,1248.8572,0.9749279,-0.22252095,0.86602545,0.49999997,0.67406946,0.73866796,21,0,1212.2858,1142.1428,1013.8571,823.0,17.0,14.0,1144.2041,73.56072,1248.8572,1036.5103,128.98422,953.1576,0.23189485,1149.2194,0.030167319,0.030228874,23.274836,0.013124379,0.86560464,1.231788,0.12127099,5.8753324,-29.0,-23.0,-17.0,-32.0,-27.0,15.0,-29.333334
Brazil,2020-02-13,47730,626,41315,1404.0,18.0,1215.0,1286.5714,16.857143,5789,0.013115441,263.0,157.0,23197.0,761584.0,263.0,115836,5507,5507,35.1,0.0167,0.0847,15.8,55.8,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,0.98,-35.0,-28.0,-17.0,-37.0,-37.0,20.0,-0.08665371,False,-0.2060739,False,-0.086255506,False,False,1404.0,18.0,1286.5714,0.43388382,-0.90096885,0.86602545,0.49999997,0.686676,0.7269636,22,0,1248.8572,1176.7142,1044.5714,847.8571,18.0,15.0,1178.7755,75.76563,1286.5714,1067.8469,132.85991,978.661,0.2318455,1183.6034,0.030198997,0.030215232,23.28515,0.013115441,0.86559814,1.231674,0.1212864,6.052761,-28.0,-18.0,-18.0,-35.0,-31.0,13.0,-31.333334
Brazil,2020-02-14,49176,645,42567,1446.0,19.0,1252.0,1325.2858,17.428572,5964,0.013116154,263.0,157.0,23197.0,761584.0,263.0,121719,5883,5883,36.88,0.0178,0.0628,5.6,48.6,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.05,-28.0,-24.0,-20.0,-41.0,-39.0,18.0,-0.087836586,False,-0.0671011,False,-0.08668776,False,False,1446.0,19.0,1325.2858,-0.43388376,-0.90096885,0.86602545,0.49999997,0.69907933,0.7150441,23,0,1286.5714,1212.2858,1076.1428,873.5714,18.0,15.0,1214.3673,78.00312,1325.2858,1100.1122,136.8407,1005.4603,0.2317884,1219.0596,0.030091105,0.030196207,23.299644,0.013116154,0.8656052,1.2315147,0.12127867,6.2348957,-34.0,-22.0,-30.0,-35.0,-32.0,15.0,-33.666668
Brazil,2020-02-15,50666,665,43856,1490.0,20.0,1289.0,1365.2858,18.0,6145,0.013125173,263.0,157.0,23197.0,761584.0,263.0,127688,5969,5969,38.69,0.0181,0.0189,7.7,47.7,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.03,-39.0,-28.0,-21.0,-43.0,-44.0,11.0,-0.08633624,False,0.038416103,False,-0.08660054,False,False,1490.0,20.0,1365.2858,-0.974928,-0.22252055,0.86602545,0.49999997,0.71127576,0.70291305,24,1,1325.2858,1248.8572,1108.7142,899.8571,19.0,16.0,1251.0204,80.329094,1365.2858,1133.3572,140.92323,1033.601,0.2316904,1255.6437,0.03018217,0.030184116,23.3088,0.013125173,0.86559033,1.2314135,0.12128449,6.423078,-32.0,-27.0,-11.0,-35.0,-36.0,17.0,-34.333332
Brazil,2020-02-16,52201,685,45185,1535.0,20.0,1329.0,1406.5714,18.428572,6331,0.013122354,263.0,157.0,23197.0,761584.0,263.0,133751,6063,6063,40.53,0.0184,0.267,5.8,48.6,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.2,-38.0,-28.0,-19.0,-46.0,-45.0,18.0,-0.08598029,False,-0.12609328,False,-0.08618806,False,False,1535.0,20.0,1406.5714,-0.7818316,0.6234896,0.86602545,0.49999997,0.7232618,0.690574,25,1,1365.2858,1286.5714,1142.1428,927.1429,20.0,17.0,1288.7959,82.73394,1406.5714,1167.602,145.14592,1063.152,0.23163784,1293.3969,0.030239563,0.0301968,23.29919,0.013122354,0.8655965,1.2315197,0.1212812,6.617309,-36.0,-25.0,-27.0,-39.0,-36.0,15.0,-37.0
Brazil,2020-02-17,53782,706,46554,1581.0,21.0,1369.0,1448.8572,19.0,6522,0.013127069,263.0,157.0,23197.0,761584.0,263.0,140214,6463,6463,42.49,0.0196,0.0658,14.1,47.9,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.05,-39.0,-27.0,-14.0,-46.0,-39.0,16.0,-0.08674136,False,-0.024435712,False,-0.08661163,False,False,1581.0,21.0,1448.8572,0.0,1.0,0.86602545,0.49999997,0.7350337,0.6780306,26,0,1406.5714,1325.2858,1176.7142,955.2857,20.0,17.0,1327.6735,85.1924,1448.8572,1202.8572,149.48648,1094.1451,0.23156142,1332.2784,0.030063007,0.030167386,23.321596,0.013127069,0.8656056,1.2312735,0.12126734,6.8162456,-30.0,-28.0,-12.0,-36.0,-37.0,17.0,-34.333332
Brazil,2020-02-18,55411,727,47964,1629.0,21.0,1410.0,1492.5714,19.571428,6720,0.013120139,263.0,157.0,23197.0,761584.0,263.0,146993,6779,6779,44.54,0.0205,0.0356,5.2,59.2,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.15,-41.0,-26.0,-20.0,-40.0,-42.0,15.0,-0.08546269,False,-0.18252552,False,-0.08644737,False,False,1629.0,21.0,1492.5714,0.7818315,0.6234898,0.86602545,0.49999997,0.7465882,0.6652865,27,0,1448.8572,1365.2858,1212.2858,984.1429,21.0,17.0,1367.7144,87.75021,1492.5714,1239.1735,153.95676,1126.6327,0.23147333,1372.3644,0.030171527,0.030159099,23.327864,0.013120139,0.8656043,1.2312044,0.12127556,7.021902,-32.0,-27.0,-19.0,-37.0,-37.0,12.0,-35.333332
Brazil,2020-02-19,57089,749,49416,1678.0,22.0,1452.0,1537.5714,20.142857,6924,0.013119865,263.0,157.0,23197.0,761584.0,263.0,153952,6959,6959,46.65,0.0211,0.033,21.3,42.2,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.3,-43.0,-31.0,-25.0,-49.0,-45.0,18.0,-0.085586645,False,-0.09336726,False,-0.08633942,False,False,1678.0,22.0,1537.5714,0.9749279,-0.22252095,0.86602545,0.49999997,0.75792164,0.6523456,28,0,1492.5714,1406.5714,1248.8572,1013.8571,21.0,18.0,1408.9592,90.38532,1537.5714,1276.5817,158.5554,1160.6599,0.23138797,1413.676,0.03014931,0.030156525,23.329866,0.013119865,0.8655958,1.2311828,0.12128431,7.233608,-36.0,-23.0,-18.0,-36.0,-37.0,18.0,-36.333332
Brazil,2020-02-20,58818,772,50913,1729.0,23.0,1497.0,1584.0,20.857143,7133,0.013125233,263.0,157.0,23197.0,761584.0,263.0,161281,7329,7329,48.87,0.0222,0.0583,8.9,50.3,25,33.5,9.1,14103,2.11,75.9,0.765,212559417,476.0,2159.0,1.32,-44.0,-24.0,-17.0,-44.0,-39.0,15.0,-0.08403297,False,-0.011086911,False,-0.08594041,False,False,1729.0,23.0,1584.0,0.43388382,-0.90096885,0.86602545,0.49999997,0.7690309,0.6392116,29,0,1537.5714,1448.8572,1286.5714,1044.5714,22.0,18.0,1451.449,93.130615,1584.0,1315.1123,163.30962,1195.7142,0.23131919,1456.2646,0.030196054,0.030156106,23.330137,0.013125233,0.8656024,1.2311792,0.1212724,7.452034,-35.0,-28.0,-17.0,-37.0,-37.0,20.0,-36.333332
